"Location","String Value"
"800035e4","Metrowerks Target Resident Kernel for PowerPC"
"801f0dc0","MESGbmg1"
"801f0de0","INF1"
"801f0e20","DAT1"
"801f0e29","ディスクを読み込んでいます。"
"801f0e46","ディスクカバーが開いています。
ゲームを続ける場合は
ディスクカバーを閉めてください。"
"801f0e9b","「ゼルダの伝説〜４つの剣＋〜」の
ディスクをセットしてください。"
"801f0edb","「ゼルダの伝説〜４つの剣＋〜」の
ディスクをセットしてください。"
"801f0f1b","ディスクを読めませんでした。
くわしくは、本体の取扱説明書をお読みください。"
"801f0f67","エラーが発生しました。
本体のパワーボタンを押して電源をOFFにし
本体の取扱説明書の指示に従ってください。"
"8024f514","vc_tes/vc_tes_1657_0.dsp"
"8024f530","vc_tes/vc_tes_1657_1.dsp"
"8024f54c","vc_tes/vc_tes_1657_2.dsp"
"8024f568","vc_tes/vc_tes_1657_3.dsp"
"8024f584","vc_tes/vc_tes_1657_4.dsp"
"8024f5a0","vc_tes/vc_tes_1657_5.dsp"
"8024f5bc","vc_tes/vc_tes_1657_6.dsp"
"8024f5d8","vc_tes/vc_tes_1657_7.dsp"
"8024f5f4","vc_tes/vc_tes_1657_8.dsp"
"8024f610","vc_tes/vc_tes_1658_4.dsp"
"8024f62c","vc_tes/vc_tes_1659.dsp"
"8024f644","vc_tes/vc_tes_1660.dsp"
"8024f65c","vc_tes/vc_tes_1661.dsp"
"8024f674","vc_tes/vc_tes_1662.dsp"
"8024f68c","vc_tes/vc_tes_1663_01.dsp"
"8024f6a8","vc_tes/vc_tes_1663_02.dsp"
"8024f6c4","vc_tes/vc_tes_1663_03.dsp"
"8024f6e0","vc_tes/vc_tes_1663_04.dsp"
"8024f6fc","vc_tes/vc_tes_1663_05.dsp"
"8024f718","vc_tes/vc_tes_1663_06.dsp"
"8024f734","vc_tes/vc_tes_1663_07.dsp"
"8024f750","vc_tes/vc_tes_1663_09.dsp"
"8024f76c","vc_tes/vc_tes_1663_10.dsp"
"8024f788","vc_tes/vc_tes_1663_11.dsp"
"8024f7a4","vc_tes/vc_tes_1663_12.dsp"
"8024f7c0","vc_tes/vc_tes_1663_13.dsp"
"8024f7dc","vc_tes/vc_tes_1663_14.dsp"
"8024f7f8","vc_tes/vc_tes_1663_15.dsp"
"8024f814","vc_tes/vc_tes_1663_16.dsp"
"8024f830","vc_tes/vc_tes_1663_17.dsp"
"8024f84c","vc_tes/vc_tes_1663_18.dsp"
"8024f868","vc_tes/vc_tes_1664.dsp"
"8024f880","vc_tes/vc_tes_1665.dsp"
"8024f898","vc_tes/vc_tes_1666.dsp"
"8024f8b0","vc_tes/vc_tes_1667.dsp"
"8024f8c8","vc_tes/vc_tes_1668.dsp"
"8024f8e0","vc_tes/vc_tes_1669.dsp"
"8024f8f8","vc_tes/vc_tes_1670.dsp"
"8024f910","vc_tes/vc_tes_1671.dsp"
"8024f928","vc_tes/vc_tes_1673.dsp"
"8024f940","vc_tes/vc_tes_1676.dsp"
"8024f958","vc_tes/vc_tes_1684.dsp"
"8024f970","vc_tes/vc_tes_1685.dsp"
"8024f988","vc_tes/vc_tes_1687.dsp"
"8024f9a0","vc_tes/vc_tes_1690.dsp"
"8024f9b8","vc_tes/vc_tes_1704.dsp"
"8024f9d0","vc_tes/vc_tes_1705.dsp"
"8024f9e8","vc_tes/vc_tes_1706.dsp"
"8024fa00","vc_tes/vc_tes_1707.dsp"
"8024fa18","vc_tes/vc_tes_1708.dsp"
"8024fa30","vc_tes/vc_tes_1709.dsp"
"8024fa48","vc_tes/vc_tes_1709_1.dsp"
"8024fa64","vc_tes/vc_tes_1710.dsp"
"8024fa7c","vc_tes/vc_tes_1711.dsp"
"8024fa94","vc_tes/vc_tes_1712.dsp"
"8024faac","vc_tes/vc_tes_1713.dsp"
"8024fac4","vc_tes/vc_tes_1714.dsp"
"8024fadc","vc_tes/vc_tes_1715.dsp"
"8024faf4","vc_tes/vc_tes_1716.dsp"
"8024fb0c","vc_tes/vc_tes_1717.dsp"
"8024fb24","vc_tes/vc_tes_1718.dsp"
"8024fb3c","vc_tes/vc_tes_1719.dsp"
"8024fb54","vc_tes/vc_tes_1720.dsp"
"8024fb6c","vc_tes/vc_tes_1721.dsp"
"8024fb84","vc_tes/vc_tes_1728.dsp"
"8024fb9c","vc_tes/vc_tes_1729.dsp"
"8024fbb4","vc_tes/vc_tes_1730.dsp"
"8024fbcc","vc_tes/vc_tes_1731.dsp"
"8024fbe4","vc_tes/vc_tes_1732.dsp"
"8024fbfc","vc_tes/vc_tes_1733.dsp"
"8024fc14","vc_tes/vc_tes_1734.dsp"
"8024fc2c","vc_tes/vc_tes_1735.dsp"
"8024fc44","vc_tes/vc_tes_1736.dsp"
"8024fc5c","vc_tes/vc_tes_1737_2.dsp"
"8024fc78","vc_tes/vc_tes_1737_4.dsp"
"8024fc94","vc_tes/vc_tes_1738_01.dsp"
"8024fcb0","vc_tes/vc_tes_1738_02.dsp"
"8024fccc","vc_tes/vc_tes_1738_03.dsp"
"8024fce8","vc_tes/vc_tes_1738_04.dsp"
"8024fd04","vc_tes/vc_tes_1738_05.dsp"
"8024fd20","vc_tes/vc_tes_1738_06.dsp"
"8024fd3c","vc_tes/vc_tes_1738_07.dsp"
"8024fd58","vc_tes/vc_tes_1738_08.dsp"
"8024fd74","vc_tes/vc_tes_1738_09.dsp"
"8024fd90","vc_tes/vc_tes_1738_10.dsp"
"8024fdac","vc_tes/vc_tes_1738_11.dsp"
"8024fdc8","vc_tes/vc_tes_1738_12.dsp"
"8024fde4","vc_tes/vc_tes_1738_13.dsp"
"8024fe00","vc_tes/vc_tes_1738_14.dsp"
"8024fe1c","vc_tes/vc_tes_1738_15.dsp"
"8024fe38","vc_tes/vc_tes_1738_16.dsp"
"8024fe54","vc_tes/vc_tes_1738_17.dsp"
"8024fe70","vc_tes/vc_tes_1738_18.dsp"
"8024fe8c","vc_tes/vc_tes_1738_19.dsp"
"8024fea8","vc_tes/vc_tes_1738_20.dsp"
"8024fec4","vc_tes/vc_tes_1739_4.dsp"
"8024fee0","vc_tes/vc_tes_1740_1.dsp"
"8024fefc","vc_tes/vc_tes_1740_3.dsp"
"8024ff18","vc_tes/vc_tes_1740_4.dsp"
"8024ff34","vc_tes/vc_tes_1740_5.dsp"
"8024ff50","vc_tes/vc_tes_1740_6.dsp"
"8024ff6c","vc_tes/vc_tes_1741.dsp"
"8024ff84","vc_tes/vc_tes_1741_2.dsp"
"8024ffa0","vc_tes/vc_tes_1742.dsp"
"8024ffb8","vc_tes/vc_tes_1743.dsp"
"8024ffd0","vc_tes/vc_tes_1743_2.dsp"
"8024ffec","vc_tes/vc_tes_1744.dsp"
"80250004","vc_tes/vc_tes_1745.dsp"
"8025001c","vc_tes/vc_tes_1745_01.dsp"
"80250038","vc_tes/vc_tes_1745_02.dsp"
"80250054","vc_tes/vc_tes_1745_03.dsp"
"80250070","vc_tes/vc_tes_1745_04.dsp"
"8025008c","vc_tes/vc_tes_1745_05.dsp"
"802500a8","vc_tes/vc_tes_1745_08.dsp"
"802500c4","vc_tes/vc_tes_1745_10.dsp"
"802500e0","vc_tes/vc_tes_1745_11.dsp"
"802500fc","vc_tes/vc_tes_1745_12.dsp"
"80250118","vc_tes/vc_tes_1746.dsp"
"80250130","vc_tes/vc_tes_1748.dsp"
"80250148","vc_tes/vc_tes_1749.dsp"
"80250160","vc_tes/vc_tes_1750.dsp"
"80250178","vc_tes/vc_tes_1751.dsp"
"80250190","vc_tes/vc_tes_1752.dsp"
"802501a8","vc_tes/vc_tes_1753.dsp"
"802501c0","vc_tes/vc_tes_1754.dsp"
"802501d8","vc_tes/vc_tes_1755.dsp"
"802501f0","vc_tes/vc_tes_1756.dsp"
"80250208","vc_tes/vc_tes_1757.dsp"
"80250220","vc_tes/vc_tes_1758.dsp"
"80250238","vc_tes/vc_tes_1759.dsp"
"80250250","vc_tes/vc_tes_1760.dsp"
"80250268","vc_tes/vc_tes_1761.dsp"
"80250280","vc_tes/vc_tes_1762.dsp"
"80250298","vc_tes/vc_tes_1763.dsp"
"802502b0","vc_tes/vc_tes_1764.dsp"
"802502c8","vc_tes/vc_tes_1765.dsp"
"802502e0","vc_tes/vc_tes_1766.dsp"
"802502f8","vc_tes/vc_tes_1767.dsp"
"80250310","vc_tes/vc_tes_1768.dsp"
"80250328","vc_tes/vc_tes_1769.dsp"
"80250340","vc_tes/vc_tes_1770.dsp"
"80250358","vc_tes/vc_tes_1771.dsp"
"80250370","vc_tes/vc_tes_1772.dsp"
"80250388","vc_tes/vc_tes_1773.dsp"
"802503a0","vc_tes/vc_tes_1774.dsp"
"802503b8","vc_tes/vc_tes_1775.dsp"
"802503d0","vc_tes/vc_tes_1776.dsp"
"802503e8","vc_tes/vc_tes_1777.dsp"
"80250400","vc_tes/vc_tes_1778.dsp"
"80250418","vc_tes/vc_tes_1779.dsp"
"80250430","vc_tes/vc_tes_1780.dsp"
"80250448","vc_tes/vc_tes_1781.dsp"
"80250460","vc_tes/vc_tes_1782.dsp"
"80250478","vc_tes/vc_tes_1783.dsp"
"80250490","vc_tes/vc_tes_1784.dsp"
"802504a8","vc_tes/vc_tes_1785.dsp"
"802504c0","vc_tes/vc_tes_1786.dsp"
"802504d8","vc_tes/vc_tes_1787.dsp"
"802504f0","vc_tes/vc_tes_1788.dsp"
"80250508","vc_tes/vc_tes_1789.dsp"
"80250520","vc_tes/vc_tes_1790.dsp"
"80250538","vc_tes/vc_tes_1791.dsp"
"80250550","vc_tes/vc_tes_1792.dsp"
"80250568","vc_tes/vc_tes_1793.dsp"
"80250580","vc_tes/vc_tes_1794.dsp"
"80250598","vc_tes/vc_tes_1795.dsp"
"802505b0","vc_tes/vc_tes_1796.dsp"
"802505c8","vc_tes/vc_tes_1797.dsp"
"802505e0","vc_tes/vc_tes_1798.dsp"
"802505f8","vc_tes/vc_tes_1799.dsp"
"80250610","vc_tes/vc_tes_1800.dsp"
"80250628","vc_tes/vc_tes_1801.dsp"
"80250640","vc_tes_50on/vc_tes_2001.dsp"
"8025065c","vc_tes_50on/vc_tes_2002.dsp"
"80250678","vc_tes_50on/vc_tes_2003.dsp"
"80250694","vc_tes_50on/vc_tes_2004.dsp"
"802506b0","vc_tes_50on/vc_tes_2005.dsp"
"802506cc","vc_tes_50on/vc_tes_2006.dsp"
"802506e8","vc_tes_50on/vc_tes_2007.dsp"
"80250704","vc_tes_50on/vc_tes_2008.dsp"
"80250720","vc_tes_50on/vc_tes_2009.dsp"
"8025073c","vc_tes_50on/vc_tes_2010.dsp"
"80250758","vc_tes_50on/vc_tes_2011.dsp"
"80250774","vc_tes_50on/vc_tes_2012.dsp"
"80250790","vc_tes_50on/vc_tes_2013.dsp"
"802507ac","vc_tes_50on/vc_tes_2014.dsp"
"802507c8","vc_tes_50on/vc_tes_2015.dsp"
"802507e4","vc_tes_50on/vc_tes_2016.dsp"
"80250800","vc_tes_50on/vc_tes_2017.dsp"
"8025081c","vc_tes_50on/vc_tes_2018.dsp"
"80250838","vc_tes_50on/vc_tes_2019.dsp"
"80250854","vc_tes_50on/vc_tes_2020.dsp"
"80250870","vc_tes_50on/vc_tes_2021.dsp"
"8025088c","vc_tes_50on/vc_tes_2022.dsp"
"802508a8","vc_tes_50on/vc_tes_2023.dsp"
"802508c4","vc_tes_50on/vc_tes_2024.dsp"
"802508e0","vc_tes_50on/vc_tes_2025.dsp"
"802508fc","vc_tes_50on/vc_tes_2026.dsp"
"80250918","vc_tes_50on/vc_tes_2027.dsp"
"80250934","vc_tes_50on/vc_tes_2028.dsp"
"80250950","vc_tes_50on/vc_tes_2029.dsp"
"8025096c","vc_tes_50on/vc_tes_2030.dsp"
"80250988","vc_tes_50on/vc_tes_2031.dsp"
"802509a4","vc_tes_50on/vc_tes_2032.dsp"
"802509c0","vc_tes_50on/vc_tes_2033.dsp"
"802509dc","vc_tes_50on/vc_tes_2034.dsp"
"802509f8","vc_tes_50on/vc_tes_2035.dsp"
"80250a14","vc_tes_50on/vc_tes_2036.dsp"
"80250a30","vc_tes_50on/vc_tes_2037.dsp"
"80250a4c","vc_tes_50on/vc_tes_2038.dsp"
"80250a68","vc_tes_50on/vc_tes_2039.dsp"
"80250a84","vc_tes_50on/vc_tes_2040.dsp"
"80250aa0","vc_tes_50on/vc_tes_2041.dsp"
"80250abc","vc_tes_50on/vc_tes_2042.dsp"
"80250ad8","vc_tes_50on/vc_tes_2043.dsp"
"80250af4","vc_tes_50on/vc_tes_2044.dsp"
"80250b10","vc_tes_50on/vc_tes_2045.dsp"
"80250b2c","vc_tes_50on/vc_tes_2051.dsp"
"80250b48","vc_tes_50on/vc_tes_2052.dsp"
"80250b64","vc_tes_50on/vc_tes_2053.dsp"
"80250b80","vc_tes_50on/vc_tes_2054.dsp"
"80250b9c","vc_tes_50on/vc_tes_2055.dsp"
"80250bb8","vc_tes_50on/vc_tes_2056.dsp"
"80250bd4","vc_tes_50on/vc_tes_2057.dsp"
"80250bf0","vc_tes_50on/vc_tes_2058.dsp"
"80250c0c","vc_tes_50on/vc_tes_2059.dsp"
"80250c28","vc_tes_50on/vc_tes_2060.dsp"
"80250c44","vc_tes_50on/vc_tes_2061.dsp"
"80250c60","vc_tes_50on/vc_tes_2064.dsp"
"80250c7c","vc_tes_50on/vc_tes_2065.dsp"
"80250c98","vc_tes_50on/vc_tes_2066.dsp"
"80250cb4","vc_tes_50on/vc_tes_2067.dsp"
"80250cd0","vc_tes_50on/vc_tes_2068.dsp"
"80250cec","vc_tes_50on/vc_tes_2069.dsp"
"80250d08","vc_tes_50on/vc_tes_2070.dsp"
"80250d24","vc_tes_50on/vc_tes_2071.dsp"
"80250d40","vc_tes_50on/vc_tes_2072.dsp"
"80250d5c","vc_tes_50on/vc_tes_2073.dsp"
"80250d78","vc_tes_50on/vc_tes_2074.dsp"
"80250d94","vc_tes_50on/vc_tes_2075.dsp"
"80250db0","vc_tes_50on/vc_tes_2101.dsp"
"80250dcc","vc_tes_50on/vc_tes_2102.dsp"
"80250de8","vc_tes_50on/vc_tes_2103.dsp"
"80250e04","vc_tes_50on/vc_tes_2104.dsp"
"80250e20","vc_tes_50on/vc_tes_2105.dsp"
"80250e3c","vc_tes_50on/vc_tes_2106.dsp"
"80250e58","vc_tes_50on/vc_tes_2107.dsp"
"80250e74","vc_tes_50on/vc_tes_2108.dsp"
"80250e90","vc_tes_50on/vc_tes_2109.dsp"
"80250eac","vc_tes_50on/vc_tes_2110.dsp"
"80250ec8","vc_tes_50on/vc_tes_2111.dsp"
"80250ee4","vc_tes_50on/vc_tes_2112.dsp"
"80250f00","vc_tes_50on/vc_tes_2113.dsp"
"80250f1c","vc_tes_50on/vc_tes_2114.dsp"
"80250f38","vc_tes_50on/vc_tes_2115.dsp"
"80250f54","vc_tes_50on/vc_tes_2116.dsp"
"80250f70","vc_tes_50on/vc_tes_2117.dsp"
"80250f8c","vc_tes_50on/vc_tes_2118.dsp"
"80250fa8","vc_tes_50on/vc_tes_2119.dsp"
"80250fc4","vc_tes_50on/vc_tes_2120.dsp"
"80250fe0","vc_tes_50on/vc_tes_2121.dsp"
"80250ffc","vc_tes_50on/vc_tes_2122.dsp"
"80251018","vc_tes_50on/vc_tes_2123.dsp"
"80251034","vc_tes_50on/vc_tes_2124.dsp"
"80251050","vc_tes_50on/vc_tes_2125.dsp"
"8025106c","vc_tes_50on/vc_tes_2126.dsp"
"80251088","vc_tes_50on/vc_tes_2127.dsp"
"802510a4","vc_tes_50on/vc_tes_2128.dsp"
"802510c0","vc_tes_50on/vc_tes_2129.dsp"
"802510dc","vc_tes_50on/vc_tes_2130.dsp"
"802510f8","vc_tes_50on/vc_tes_2131.dsp"
"80251114","vc_tes_50on/vc_tes_2132.dsp"
"80251130","vc_tes_50on/vc_tes_2133.dsp"
"8025114c","vc_tes_50on/vc_tes_2134.dsp"
"80251168","vc_tes_50on/vc_tes_2135.dsp"
"80251184","vc_tes_50on/vc_tes_2136.dsp"
"802511a0","vc_tes_50on/vc_tes_2137.dsp"
"802511bc","vc_tes_50on/vc_tes_2138.dsp"
"802511d8","vc_tes_50on/vc_tes_2139.dsp"
"802511f4","vc_tes_50on/vc_tes_2140.dsp"
"80251210","vc_tes_50on/vc_tes_2141.dsp"
"8025122c","vc_tes_50on/vc_tes_2142.dsp"
"80251248","vc_tes_50on/vc_tes_2143.dsp"
"80251264","vc_tes_50on/vc_tes_2144.dsp"
"80251280","vc_tes_50on/vc_tes_2145.dsp"
"8025129c","vc_tes_50on/vc_tes_2146.dsp"
"802512b8","vc_tes_50on/vc_tes_2151.dsp"
"802512d4","vc_tes_50on/vc_tes_2152.dsp"
"802512f0","vc_tes_50on/vc_tes_2153.dsp"
"8025130c","vc_tes_50on/vc_tes_2154.dsp"
"80251328","vc_tes_50on/vc_tes_2155.dsp"
"80251344","vc_tes_50on/vc_tes_2156.dsp"
"80251360","vc_tes_50on/vc_tes_2157.dsp"
"8025137c","vc_tes_50on/vc_tes_2158.dsp"
"80251398","vc_tes_50on/vc_tes_2159.dsp"
"802513b4","vc_tes_50on/vc_tes_2160.dsp"
"802513d0","vc_tes_50on/vc_tes_2161.dsp"
"802513ec","vc_tes_50on/vc_tes_2164.dsp"
"80251408","vc_tes_50on/vc_tes_2165.dsp"
"80251424","vc_tes_50on/vc_tes_2166.dsp"
"80251440","vc_tes_50on/vc_tes_2167.dsp"
"8025145c","vc_tes_50on/vc_tes_2168.dsp"
"80251478","vc_tes_50on/vc_tes_2169.dsp"
"80251494","vc_tes_50on/vc_tes_2170.dsp"
"802514b0","vc_tes_50on/vc_tes_2171.dsp"
"802514cc","vc_tes_50on/vc_tes_2172.dsp"
"802514e8","vc_tes_50on/vc_tes_2173.dsp"
"80251504","vc_tes_50on/vc_tes_2174.dsp"
"80251520","vc_tes_50on/vc_tes_2175.dsp"
"8025153c","vc_tes_50on/vc_tes_2176.dsp"
"80251558","vc_tes_50on/vc_tes_2177.dsp"
"80251574","vc_tes_50on/vc_tes_2178.dsp"
"80251590","vc_tes_50on/vc_tes_2179.dsp"
"802515ac","vc_tes_50on/vc_tes_2180.dsp"
"802515c8","vc_tes_50on/vc_tes_2181.dsp"
"802515e4","vc_tes_50on/vc_tes_2182.dsp"
"80251600","vc_tes_50on/vc_tes_2183.dsp"
"8025161c","vc_tes_50on/vc_tes_2184.dsp"
"80251638","vc_tes_50on/vc_tes_2185.dsp"
"80251654","vc_tes_50on/vc_tes_2186.dsp"
"80251670","vc_tes_50on/vc_tes_2187.dsp"
"8025168c","vc_tes_50on/vc_tes_2188.dsp"
"802516a8","vc_tes_50on/vc_tes_2189.dsp"
"802516c4","vc_tes_50on/vc_tes_2190.dsp"
"802516e0","vc_tes_50on/vc_tes_2191.dsp"
"802516fc","vc_tes_50on/vc_tes_2192.dsp"
"80251718","vc_tes_50on/vc_tes_2193.dsp"
"80251734","vc_tes_50on/vc_tes_2194.dsp"
"80251750","vc_tes_50on/vc_tes_2195.dsp"
"8025176c","vc_tes_50on/vc_tes_2196.dsp"
"80251788","vc_tes_50on/vc_tes_2197.dsp"
"802517a4","vc_tes_50on/vc_tes_2198.dsp"
"802517c0","vc_tes_50on/vc_tes_2199.dsp"
"802517dc","vc_tes_50on/vc_tes_2200.dsp"
"802517f8","vc_tes_50on/vc_tes_2201.dsp"
"80251814","vc_tes_50on/vc_tes_2202.dsp"
"80251830","vc_tes_50on/vc_tes_2203.dsp"
"8025184c","vc_tes_50on/vc_tes_2204.dsp"
"80251868","vc_tes_50on/vc_tes_2205.dsp"
"80251884","vc_tes_50on/vc_tes_2206.dsp"
"802518a0","vc_tes_50on/vc_tes_2207.dsp"
"802518bc","vc_tes_50on/vc_tes_2208.dsp"
"802518d8","vc_tes_50on/vc_tes_2209.dsp"
"802518f4","vc_tes_50on/vc_tes_2210.dsp"
"80251910","vc_tes_50on/vc_tes_2211.dsp"
"8025192c","vc_tes_50on/vc_tes_2212.dsp"
"80251948","vc_tes_50on/vc_tes_2213.dsp"
"80251964","vc_tes_50on/vc_tes_2214.dsp"
"80251980","vc_tes_50on/vc_tes_2215.dsp"
"8025199c","vc_tes_50on/vc_tes_2216.dsp"
"802519b8","vc_tes_50on/vc_tes_2217.dsp"
"802519d4","vc_tes_50on/vc_tes_2218.dsp"
"802519f0","vc_tes_50on/vc_tes_2219.dsp"
"80251a0c","vc_tes_50on/vc_tes_2220.dsp"
"80251a28","vc_tes_50on/vc_tes_2221.dsp"
"80251a44","vc_tes_50on/vc_tes_2222.dsp"
"80251a60","vc_tes_50on/vc_tes_2223.dsp"
"80251a7c","vc_tes_50on/vc_tes_2224.dsp"
"80251a98","vc_tes_50on/vc_tes_2225.dsp"
"80251ab4","vc_tes_50on/vc_tes_2226.dsp"
"80251ad0","vc_tes_50on/vc_tes_2227.dsp"
"80251aec","vc_tes_50on/vc_tes_2228.dsp"
"80251b08","vc_tes_50on/vc_tes_2229.dsp"
"80251b24","vc_tes_50on/vc_tes_2230.dsp"
"80251b40","vc_tes_50on/vc_tes_2231.dsp"
"80251b5c","vc_tes_50on/vc_tes_2232.dsp"
"80251b78","vc_tes_50on/vc_tes_2233.dsp"
"80251b94","vc_tes_50on/vc_tes_2234.dsp"
"80251bb0","vc_tes_50on/vc_tes_2235.dsp"
"80251bcc","vc_tes_50on/vc_tes_2236.dsp"
"80251be8","vc_tes_50on/vc_tes_2237.dsp"
"80251c04","vc_tes_50on/vc_tes_2238.dsp"
"80251c20","vc_tes_50on/vc_tes_2239.dsp"
"80251c3c","vc_tes_50on/vc_tes_2240.dsp"
"80251c58","vc_tes_50on/vc_tes_2241.dsp"
"80251c74","vc_tes_50on/vc_tes_2242.dsp"
"80251c90","vc_tes_50on/vc_tes_2243.dsp"
"80251cac","vc_tes_50on/vc_tes_2244.dsp"
"80251cc8","vc_tes_50on/vc_tes_2245.dsp"
"80251ce4","vc_tes_50on/vc_tes_2246.dsp"
"80251d00","vc_tes_50on/vc_tes_2251.dsp"
"80251d1c","vc_tes_50on/vc_tes_2252.dsp"
"80251d38","vc_tes_50on/vc_tes_2253.dsp"
"80251d54","vc_tes_50on/vc_tes_2254.dsp"
"80251d70","vc_tes_50on/vc_tes_2255.dsp"
"80251d8c","vc_tes_50on/vc_tes_2256.dsp"
"80251da8","vc_tes_50on/vc_tes_2257.dsp"
"80251dc4","vc_tes_50on/vc_tes_2258.dsp"
"80251de0","vc_tes_50on/vc_tes_2259.dsp"
"80251dfc","vc_tes_50on/vc_tes_2260.dsp"
"80251e18","vc_tes_50on/vc_tes_2261.dsp"
"80251e34","vc_tes_50on/vc_tes_2264.dsp"
"80251e50","vc_tes_50on/vc_tes_2265.dsp"
"80251e6c","vc_tes_50on/vc_tes_2266.dsp"
"80251e88","vc_tes_50on/vc_tes_2267.dsp"
"80251ea4","vc_tes_50on/vc_tes_2268.dsp"
"80251ec0","vc_tes_50on/vc_tes_2269.dsp"
"80251edc","vc_tes_50on/vc_tes_2270.dsp"
"80251ef8","vc_tes_50on/vc_tes_2271.dsp"
"80251f14","vc_tes_50on/vc_tes_2272.dsp"
"80251f30","vc_tes_50on/vc_tes_2273.dsp"
"80251f4c","vc_tes_50on/vc_tes_2274.dsp"
"80251f68","vc_tes_50on/vc_tes_2275.dsp"
"80251f84","vc_tes_50on/vc_tes_2276.dsp"
"80251fa0","vc_tes_50on/vc_tes_2277.dsp"
"80251fbc","vc_tes_50on/vc_tes_2278.dsp"
"80251fd8","vc_tes_50on/vc_tes_2279.dsp"
"80251ff4","vc_tes_50on/vc_tes_2280.dsp"
"80252010","vc_tes_50on/vc_tes_2281.dsp"
"8025202c","vc_tes_50on/vc_tes_2282.dsp"
"80252048","vc_tes_50on/vc_tes_2283.dsp"
"80252064","vc_tes_50on/vc_tes_2284.dsp"
"80252080","vc_tes_50on/vc_tes_2285.dsp"
"8025209c","vc_tes_50on/vc_tes_2286.dsp"
"802520b8","vc_tes_50on/vc_tes_2287.dsp"
"802520d4","vc_tes_50on/vc_tes_2288.dsp"
"802520f0","vc_tes_50on/vc_tes_2289.dsp"
"8025210c","vc_tes_50on/vc_tes_2290.dsp"
"80252128","vc_tes_50on/vc_tes_2291.dsp"
"80252144","vc_tes_50on/vc_tes_2292.dsp"
"80252160","vc_tes_50on/vc_tes_2293.dsp"
"8025217c","vc_tes_50on/vc_tes_2294.dsp"
"80252198","vc_tes_50on/vc_tes_2295.dsp"
"802521b4","vc_tes_50on/vc_tes_2296.dsp"
"802521d0","vc_tes_50on/vc_tes_2297.dsp"
"802521ec","vc_tes_50on/vc_tes_2298.dsp"
"80252208","vc_tes_50on/vc_tes_2299.dsp"
"80252224","vc_tes_50on/vc_tes_2300.dsp"
"80252240","vc_tes_50on/vc_tes_2301.dsp"
"8025225c","vc_tes_50on/vc_tes_2302.dsp"
"80252278","vc_tes_50on/vc_tes_2303.dsp"
"80252294","vc_tes_50on/vc_tes_2304.dsp"
"802522b0","vc_tes_50on/vc_tes_2305.dsp"
"802522cc","vc_tes_50on/vc_tes_2306.dsp"
"802522e8","vc_tes_50on/vc_tes_2307.dsp"
"80252304","vc_tes_50on/vc_tes_2308.dsp"
"80252320","vc_tes_50on/vc_tes_2309.dsp"
"8025233c","vc_tes_50on/vc_tes_2310.dsp"
"80252358","vc_tes_50on/vc_tes_2311.dsp"
"80252374","vc_tes_50on/vc_tes_2312.dsp"
"80252390","vc_tes_50on/vc_tes_2313.dsp"
"802523ac","vc_tes_50on/vc_tes_2314.dsp"
"802523c8","vc_tes_50on/vc_tes_2315.dsp"
"802523e4","vc_tes_50on/vc_tes_2316.dsp"
"80252400","vc_tes_50on/vc_tes_2317.dsp"
"8025241c","vc_tes_50on/vc_tes_2318.dsp"
"80252438","vc_tes_50on/vc_tes_2319.dsp"
"80252454","vc_tes_50on/vc_tes_2320.dsp"
"80252470","vc_tes_50on/vc_tes_2321.dsp"
"8025248c","vc_tes_50on/vc_tes_2322.dsp"
"802524a8","vc_tes_50on/vc_tes_2323.dsp"
"802524c4","vc_tes_50on/vc_tes_2324.dsp"
"802524e0","vc_tes_50on/vc_tes_2325.dsp"
"802524fc","vc_tes_50on/vc_tes_2326.dsp"
"80252518","vc_tes_50on/vc_tes_2327.dsp"
"80252534","vc_tes_50on/vc_tes_2328.dsp"
"80252550","vc_tes_50on/vc_tes_2329.dsp"
"8025256c","vc_tes_50on/vc_tes_2330.dsp"
"80252588","vc_tes_50on/vc_tes_2331.dsp"
"802525a4","vc_tes_50on/vc_tes_2332.dsp"
"802525c0","vc_tes_50on/vc_tes_2333.dsp"
"802525dc","vc_tes_50on/vc_tes_2334.dsp"
"802525f8","vc_tes_50on/vc_tes_2335.dsp"
"80252614","vc_tes_50on/vc_tes_2336.dsp"
"80252630","vc_tes_50on/vc_tes_2337.dsp"
"8025264c","vc_tes_50on/vc_tes_2338.dsp"
"80252668","vc_tes_50on/vc_tes_2339.dsp"
"80252684","vc_tes_50on/vc_tes_2340.dsp"
"802526a0","vc_tes_50on/vc_tes_2341.dsp"
"802526bc","vc_tes_50on/vc_tes_2342.dsp"
"802526d8","vc_tes_50on/vc_tes_2343.dsp"
"802526f4","vc_tes_50on/vc_tes_2344.dsp"
"80252710","vc_tes_50on/vc_tes_2345.dsp"
"8025272c","vc_tes_50on/vc_tes_2346.dsp"
"80252748","vc_tes_50on/vc_tes_2351.dsp"
"80252764","vc_tes_50on/vc_tes_2352.dsp"
"80252780","vc_tes_50on/vc_tes_2353.dsp"
"8025279c","vc_tes_50on/vc_tes_2354.dsp"
"802527b8","vc_tes_50on/vc_tes_2355.dsp"
"802527d4","vc_tes_50on/vc_tes_2356.dsp"
"802527f0","vc_tes_50on/vc_tes_2357.dsp"
"8025280c","vc_tes_50on/vc_tes_2358.dsp"
