"Location","String Value"
"800035e4","Metrowerks Target Resident Kernel for PowerPC"
"801f0dc0","MESGbmg1"
"801f0de0","INF1"
"801f0e20","DAT1"
"801f0e29","ディスクを読み込んでいます。"
"801f0e46","ディスクカバーが開いています。
ゲームを続ける場合は
ディスクカバーを閉めてください。"
"801f0e9b","「ゼルダの伝説〜４つの剣＋〜」の
ディスクをセットしてください。"
"801f0edb","「ゼルダの伝説〜４つの剣＋〜」の
ディスクをセットしてください。"
"801f0f1b","ディスクを読めませんでした。
くわしくは、本体の取扱説明書をお読みください。"
"801f0f67","エラーが発生しました。
本体のパワーボタンを押して電源をOFFにし
本体の取扱説明書の指示に従ってください。"
"802037a0","0x%08x:   0x%08x    0x%08x
"
"802037d8","m_Do_graphic.cpp"
"802037ec","faderPtr != 0"
"802037fc","mHeap[0] != 0"
"8020380c","mHeap[1] != 0"
"8020381c","16 <= i8low && i8high <= 235"
"8020383c","oldcb == mCaptureGXDrawSyncCallback"
"80203860","キャプチャタイムアウト
"
"80203878","mCaptureOldCB == 0"
"80203908","SystemHeap"
"80203914","ZeldaHeap"
"80203920","GameHeap"
"8020392c","ArchiveHeap"
"80203938","CommandHeap"
"80203944","Error: Cannot allocate memory %d(0x%x)byte in %d byte alignment from %08x
"
"80203990","FreeSize=%08x TotalFreeSize=%08x HeapType=%08x(%c%c%c%c) HeapSize=%08x %s
"
"802039dc","error in %08x(%s)
"
"802039f0","振動停止＆原点復帰
"
"80203a04","例外マネージャがありません
"
"80203a20","キー入力を受け付けています
"
"80203a3c","リセット受け付けています
"
"80203a58","JUTAssertionを可視化しました
"
"80203a78","3秒間停止
"
"80203a84","PUSH START BUTTON TO ADDITIONAL INFOMATION
"
"80203ab0","--------------------------------------
"
"80203ad8","JFWSystem.h"
"80203ae4","sInitCalled == 0"
"80203af8","m_Do_machine.cpp"
"80203b0c","size > 0"
"80203b18","/bin/Final/framework.map"
"80203b80","ソリッドヒープちゃうがな！
"
"80203b9c","m_Do_ext.cpp"
"80203bac","isCurrentSolidHeap()"
"80203bc4","mFrameCtrl != 0"
"80203bd4","(i_anmPlay == 0 || getFrameCtrl() != 0 || isCurrentSolidHeap()) && i_matTable != 0 && i_bpk != 0"
"80203c38","(i_anmPlay == 0 || getFrameCtrl() != 0 || isCurrentSolidHeap()) && i_matTable != 0 && i_btp != 0"
"80203c9c","(i_anmPlay == 0 || getFrameCtrl() != 0 || isCurrentSolidHeap()) && i_matTable != 0 && i_btk != 0"
"80203d00","(i_anmPlay == 0 || getFrameCtrl() != 0 || isCurrentSolidHeap()) && i_matTable != 0 && i_brk != 0"
"80203d64","(i_modify || isCurrentSolidHeap()) && i_model != 0 && i_bva != 0"
"80203da8","(i_modify || isCurrentSolidHeap()) && i_bck != 0"
"80203ddc","mAnm != 0"
"80203de8","gameHeap == 0 || heapSize == 0"
"80203e08","zeldaHeap == 0 || heapSize == 0"
"80203e28","commandHeap == 0 || heapSize == 0"
"80203e4c","archiveHeap == 0 || heapSize == 0"
"80203e70","situationHeap == 0 || heapSize == 0"
"80203e94","situationHeapLocked == 0"
"80203eb0","situationHeap"
"80203ec0","situationHeapLocked"
"80203ed4","heap == situationHeap"
"80203eec","OSGetCurrentThread() == &mainThread"
"80203f10","mDoExt_SaveCurrentHeap == 0"
"80203f2c","heap != 0"
"80203f38","mDoExt_SaveCurrentHeap != 0"
"8020413c","size_p != 0"
"80204444","mDoExt_3DlinePacket"
"80204458","J3DPacket"
"80204484","mDoExt_3DlineMatSortPacket"
"802044c0","mDoExt_3DlineMat1_c"
"802044d4","mDoExt_3DlineMat_c"
"80204508","mDoExt_3DlineMat0_c"
"8020453c","mDoExt_invJntPacket"
"80204570","mDoExt_onCupOffAupPacket"
"802045ac","mDoExt_offCupOnAupPacket"
"802045e8","mDoExt_McaMorf2"
"802045f8","J3DMtxCalc"
"80204604","J3DMtxCalcNoAnmBase"
"80204624","J3DMtxCalcNoAnm<J3DMtxCalcCalcTransformMaya\, J3DMtxCalcJ3DSysInitMaya>"
"802046c8","mDoExt_McaMorf"
"80204778","mDoExt_MtxCalcAnmBlendTblOld"
"80204798","mDoExt_MtxCalcAnmBlendTbl"
"8020484c","J3DMtxCalcAnimation<J3DMtxCalcAnimationAdaptorDefault<J3DMtxCalcCalcTransformMaya>\, J3DMtxCalcJ3DSysInitMaya>"
"802048bc","J3DMtxCalcAnmBase"
"80204974","J3DFrameCtrl"
"80204990","m_Do_lib.cpp"
"802049a0","o_tlutObj != 0"
"802049b0","J3DUClipper"
"802049c8","危険：既に登録されているホストIOをふたたび登録しようとしています<%s>
"
"80204a10","ホストIOの空きエントリがありません。登録できませんでした。
"
"80204a4c","危険：すでに削除されているホストIOをさらに削除しようとしています<%s>
"
"80204a94","mDoHIO_subRoot_c"
"80204aa8","JORReflexible"
"80204ad0","mDoHIO_root_c"
"80204af8","m_Do_dvd_thread.cpp"
"80204b0c","can't open:[%s]
"
"80204b20","mDoDvdThd_param_c::mainLoop() コマンドの実行が失敗しました。
"
"80204b60","mDoDvdThd_mountArchive_c::execute マウント失敗
"
"80204b90","mDoDvdThd_mountArchive_c::execute システムヒープで再チャレンジ！
"
"80204bd4","mDoDvdThd_mountArchive_c::execute ヒープが致命的に足りません！
"
"80204c14","mArchive != 0"
"80204c24","mDoDvdThd_getResource_c::create() クラス生成に失敗
"
"80204c58","mDoDvdThd_getResource_c::create() リソース取得に失敗
"
"80204c90","mArchive"
"80204c9c","mDoDvdThd_getResource_c::execute() リソース取得に失敗
"
"80204cd4","mEntryNum != -1"
"80204ce4","mDoDvdThd_toMainRam_c"
"80204cfc","node_class"
"80204d08","mDoDvdThd_command_c"
"80204d4c","mDoDvdThd_getResource_c"
"80204d88","mDoDvdThd_mountXArchive_c"
"80204dc8","mDoDvdThd_mountAramArchive_c"
"80204e0c","mDoDvdThd_mountArchive_c"
"80204e4c","mDoDvdThd_callback_c"
"80204f70","mDoGaC_HIO_c"
"80204f80","JORReflexible"
"80204fa8","gc4sword"
"80204ff0","ゼルダの伝説　４つの剣＋"
"8020500c","%d月%d日のセーブデータです。"
"8020502c","kk_diskbanner_01.bti"
"80205044","kk_ipl_icon_01.bti"
"80205058","ゲームシステム"
"80205068","fapGm_HIO_c"
"80205074","JORReflexible"
"802050b8","f_op_actor.cpp"
"802050c8","!(((sizeof(actor->current.pos.x) == sizeof(float)) ? __fpclassifyf((float)(actor->current.pos.x)) : __fpclassifyd((double)(actor->current.pos.x)) ) == 1)"
"80205164","!(((sizeof(actor->current.pos.y) == sizeof(float)) ? __fpclassifyf((float)(actor->current.pos.y)) : __fpclassifyd((double)(actor->current.pos.y)) ) == 1)"
"80205200","!(((sizeof(actor->current.pos.z) == sizeof(float)) ? __fpclassifyf((float)(actor->current.pos.z)) : __fpclassifyd((double)(actor->current.pos.z)) ) == 1)"
"8020529c","-1.0e32f < actor->current.pos.x && actor->current.pos.x < 1.0e32f && -1.0e32f < actor->current.pos.y && actor->current.pos.y < 1.0e32f && -1.0e32f < actor->current.pos.z && actor->current.pos.z < 1.0e32f"
"80205398","f_op_actor_mng.cpp"
"802053ac","i_this->heap == 0"
"802053c0","fopAcM_createHeap 確保失敗
"
"802053dc","i_this->heap != 0"
"802053f0","見積もりヒープサイズ(%08x)で登録失敗しました。[%s]
"
"80205424","見積もりヒープサイズでは空きが多すぎます。 %08x %08x
[m"
"80205460","見積もりヒープが確保できませんでした。
"
"80205488","最大空きヒープサイズで登録失敗。[%s]
"
"802054b0","result != 0"
"802054bc","ぴったりサイズで、登録失敗？(バグ)
"
"802054e0","ばぐばぐです
"
"802054f0","fopAcM_entrySolidHeap だめでした [%s]
"
"80205548","f_op_overlap_mng.cpp"
"80205560","fopOvlpM_Cancel SUCCESSED"
"802055b8","f_op_scene_mng.cpp"
"80205668","f_pc_deletor.cpp"
"802056f0","f_pc_manager.cpp"
"80205704","tpane != 0"
"80205710","spane != 0"
"8020571c","ppane != 0"
"80205728","Dvd Error !! <%d>
"
"802058d0","d_demo.cpp"
"802058dc","g_demo != 0"
"802058e8","mSystem != 0"
"802058f8","mControl != 0"
"80205908","mStage != 0"
"80205914","mFactory != 0"
"80205924","デモデータ読み込みエラー！！
"
"80205944","デモデータ再読み込みエラー！！
"
"80205964","JStudio::TCreateObject"
"8020598c","dDemo_system_c"
"8020599c","JStage::TObject"
"802059ac","JStage::TSystem"
"80205a2c","dDemo_light_c"
"80205a3c","JStage::TLight"
"80205ad8","dDemo_camera_c"
"80205ae8","JStage::TCamera"
"80205bb0","Dummy"
"80205bbc","Camera"
"80205bc8","Kankyo"
"80205bd4","VRBox2"
"80205be0","VRBox"
"80205bec","Studio"
"80205bf8","Shima"
"80205c04","Screen"
"80205c10","Tc"
"80205c1c","Tc2"
"80205c28","Ship"
"80205c34","Kg"
"80205c40","Yw"
"80205c4c","Tetora"
"80205c58","Star"
"80205c64","Boots"
"80205c70","Hane"
"80205c7c","Hammer"
"80205c88","Card"
"80205c94","Omamori"
"80205ca0","Baloon"
"80205cac","Rupy"
"80205cb8","Bomb"
"80205cc4","Ball"
"80205cd0","Tubo"
"80205cdc","DmStmp"
"80205ce8","PShip"
"80205cf4","Rlt"
"80205d00","Monitor"
"80205d0c","Kamome"
"80205d18","Marker"
"80205d24","Link"
"80205d30","Stdio2D"
"80205d3c","MG1"
"80205d48","Event"
"80205d54","Tools"
"80205d60","P1_Ami"
"80205d6c","P1_Asa"
"80205d78","P1_Dari"
"80205d84","P1_Same"
"80205d90","P1_Taru"
"80205d9c","P1_Yari"
"80205da8","P2_Cush"
"80205db4","P2_Dai "
"80205dc0","P2_Kago"
"80205dcc","P2_Kotu"
"80205dd8","P2_Nuno"
"80205de4","P2_TubA"
"80205df0","P2_TubB"
"80205dfc","P2_TubS"
"80205e08","P3_Donb"
"80205e14","P3_Hako"
"80205e20","P3_Isu "
"80205e2c","P3_Kens"
"80205e38","P3_Kuki"
"80205e44","P3_Kumo"
"80205e50","P3_Taih"
"80205e5c","P3_Taka"
"80205e68","P4_Kagu"
"80205e74","P4_Yuka"
"80205e80","P4_YukB"
"80205e8c","P4_YukC"
"80205e98","P4_YukD"
"80205ea4","P4_KzHA"
"80205eb0","P4_KZHB"
"80205ec0","/tetora/res/2d/window.arc"
"80205edc","/tetora/res/2d/result.arc"
"80205ef8","/tetora/res/2d/quiz.arc"
"80205f10","/tetora/res/2d/pon.arc"
"80205f28","/tetora/res/2d/bingo.arc"
"80205f44","/tetora/res/2d/rule.arc"
"80205f5c","/tetora/res/2d/terop.arc"
"80205f78","/tetora/res/2d/connect.arc"
"80205f94","/tetora/res/2d/courseSel.arc"
"80205fb4","/tetora/res/2d/data_select.arc"
"80205fd4","/tetora/res/2d/navi_select.arc"
"80205ff4","/tetora/res/2d/navi_card.arc"
"80206014","/tetora/res/2d/save.arc"
"8020602c","/tetora/res/2d/start.arc"
"80206048","/tetora/res/2d/error.arc"
"80206064","/tetora/res/2d/buttonIcon.arc"
"80206084","/tetora/res/2d/info.arc"
"8020609c","/tetora/res/2d/infoRule.arc"
"802060b8","/tetora/res/2d/infoItem.arc"
"802060d4","/tetora/res/2d/record_stamp.arc"
"802060f4","/tetora/res/2d/record_score.arc"
"80206114","/tetora/res/2d/record_kai.arc"
"80206134","/tetora/res/2d/mode.arc"
"8020614c","/tetora/res/2d/tinkle.arc"
"80206168","/tetora/res/CardIcon/cardicon.arc"
"8020618c","/tetora/res/message/message.arc"
"802061ac","/tetora/res/Object/"
"802061d8","d_com_inf_game.cpp"
"802061ec","i_phase->id != 1"
"80206438","駆け出し"
"80206444","リーダー"
"802223d0","dSnd_HIO_c"
"802223dc","JORReflexible"
"802223ec","mDoHIO_entry_c"
"80226290","marv_load"
"8022629c","s0_sumpA_sch1"
"802262ac","tnsbg_00_sch"
"802262c8","s0_sumpA_sch2"
"802262d8","GC_baseobj_sch"
"802262e8","GC_baseobj_sch2"
"802262f8","marvbin_2"
"80226304","marvbin_3"
"80226310","marvbin_4"
"8022631c","marvbin_5"
"80226328","marvbin_6"
"80226334","marvbin_1"
"80226364","通信システム"
"80226374","/tetora/res/Gba/L_%02d/%s.bin"
"80226394","/tetora/res/Gba/%s/C_%02d/%s.bin"
"802263e8","00:×ダミー"
"802263f4","01:×ダミー"
"80226400","02:◎ルピー黄"
"80226410","03:◎ルピー緑"
"80226420","04:◎ルピー青"
"80226430","05:◎ルピー赤"
"80226440","06:◎紫ルピー"
"80226450","07:◎ペガサスの靴"
"80226464","08:◎マジックハンマー"
"8022647c","09:◎Ｓハンマー"
"8022648c","0B:◎ロック鳥の羽"
"802264a0","0C:◎Ｓ風船"
"802264ac","0D:◎スコップ"
"802264bc","0E:◎マジックマント"
"802264d0","0F:◎ビンゴカード"
"802264e4","10:◎オール５"
"802264f4","11:×音声ルーレット"
"80226508","12:×スタンパークイズ"
"80226520","13:◎海賊のお守り"
"80226534","14:◎風船"
"80226540","15:◎ナビカード"
"80226550","16:◎ラッキーカード２"
"80226568","17:◎ラッキーカード３"
"80226580","18:◎ラッキーカード４"
"80226598","19:◎ラッキーカード５"
"802265b0","1A:◎緑大ルピー"
